Total number of tokens: 124417
ngram,count,frequency
of the,488,0.39222935772442674
to be,439,0.35284567221521174
in the,381,0.30622824855124303
to the,266,0.213797149907167
of her,256,0.20575966306855173
ý am,243,0.19531093017835183
of his,235,0.1888809407074596
mr darcy,218,0.1752172130818136
she was,212,0.1703947209786444
she had,204,0.16396473150775215
had been,200,0.16074973677230603
to her,176,0.1414597683596293
that he,171,0.13744102494032165
could not,167,0.13422603020487556
he had,165,0.13261853283715247
for the,162,0.1302072867855679
and the,162,0.1302072867855679
he was,159,0.1277960407339833
it was,159,0.1277960407339833
on the,151,0.12136605126309105
ý have,149,0.119758553895368
such a,146,0.11734730784378342
mrs bennet,136,0.10930982100516809
have been,134,0.10770232363744504
they were,131,0.10529107758586045
did not,131,0.10529107758586045
she could,131,0.10529107758586045
that she,130,0.10448732890199891
do not,127,0.10207608285041432
with the,126,0.1012723341665528
in a,125,0.10046858548269127
was not,124,0.09966483679882973
mr collins,121,0.09725359074724516
all the,113,0.09082360127635292
by the,113,0.09082360127635292
of a,113,0.09082360127635292
and she,111,0.08921610390862984
that ý,110,0.08841235522476833
it is,106,0.0851973604893222
and ý,105,0.08439361180546066
at the,103,0.0827861144377376
as to,102,0.08198236575387607
as she,95,0.07635612496684538
lady catherine,94,0.07555237628298384
would be,93,0.0747486275991223
from the,93,0.0747486275991223
not be,92,0.07394487891526078
with a,92,0.07394487891526078
in her,92,0.07394487891526078
to his,91,0.07314113023139925
of their,87,0.06992613549595313
will be,87,0.06992613549595313
there was,87,0.06992613549595313
would have,86,0.0691223868120916
but ý,86,0.0691223868120916
ýt was,85,0.06831863812823007
with her,85,0.06831863812823007
to make,84,0.06751488944436854
and her,84,0.06751488944436854
my dear,83,0.06671114076050699
mr bingley,82,0.06590739207664548
was a,82,0.06590739207664548
for her,82,0.06590739207664548
of my,82,0.06590739207664548
him to,81,0.06510364339278395
must be,79,0.06349614602506089
ý shall,79,0.06349614602506089
is a,79,0.06349614602506089
a very,78,0.06269239734119936
to have,78,0.06269239734119936
of it,78,0.06269239734119936
to see,76,0.0610848999734763
you are,76,0.0610848999734763
that the,76,0.0610848999734763
you will,75,0.06028115128961476
would not,74,0.05947740260575323
had not,74,0.05947740260575323
mr bennet,73,0.05867365392189171
you have,73,0.05867365392189171
her sister,72,0.05786990523803017
the whole,72,0.05786990523803017
will not,72,0.05786990523803017
in his,72,0.05786990523803017
that it,70,0.05626240787030711
the same,69,0.05545865918644558
of your,69,0.05545865918644558
the room,68,0.054654910502584045
miss bingley,68,0.054654910502584045
is not,68,0.054654910502584045
one of,67,0.05385116181872252
ý do,67,0.05385116181872252
of mr,64,0.05143991576713793
they had,64,0.05143991576713793
that you,64,0.05143991576713793
should be,63,0.0506361670832764
not to,63,0.0506361670832764
elizabeth was,63,0.0506361670832764
of all,62,0.049832418399414866
as he,62,0.049832418399414866
he is,62,0.049832418399414866
as they,61,0.04902866971555334
her own,60,0.048224921031691806
the world,60,0.048224921031691806
to say,60,0.048224921031691806
more than,60,0.048224921031691806
mr wickham,60,0.048224921031691806
you must,60,0.048224921031691806
ý was,59,0.04742117234783028
her to,59,0.04742117234783028
and elizabeth,59,0.04742117234783028
and his,58,0.04661742366396875
it would,58,0.04661742366396875
ý should,58,0.04661742366396875
